city,station,CO,NH3,NO2,O3,PM10,PM25,SO2
Agra,"Manoharpur, Agra - UPPCB",,9.0,,5.0,117.0,39.0,
Agra,"Rohta, Agra - UPPCB",10.0,,14.0,17.0,,,8.0
Agra,"Sanjay Palace, Agra - UPPCB",44.0,,10.0,108.0,133.0,82.0,18.0
Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB",23.0,14.0,17.0,10.0,136.0,126.0,11.0
Agra,"Shahjahan Garden, Agra - UPPCB",11.0,1.0,9.0,1.0,151.0,89.0,25.0
Agra,"Shastripuram, Agra - UPPCB",16.0,3.0,50.0,14.0,112.0,40.0,11.0
Ahmedabad,"Chandkheda, Ahmedabad - IITM",35.0,12.0,10.0,46.0,127.0,43.0,4.0
Ahmedabad,"Gyaspur, Ahmedabad - IITM",24.0,6.0,,18.0,,43.0,20.0
Ahmedabad,"Maninagar, Ahmedabad - GPCB",20.0,,39.0,,88.0,69.0,
Ahmedabad,"Raikhad, Ahmedabad - IITM",21.0,,19.0,27.0,88.0,36.0,4.0
Ahmedabad,"Rakhial, Ahmedabad - IITM",48.0,6.0,30.0,25.0,89.0,15.0,17.0
Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",8.0,2.0,8.0,51.0,80.0,73.0,2.0
Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",,4.0,14.0,,81.0,69.0,6.0
Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",,1.0,20.0,38.0,,40.0,
Ahmednagar,"Tarakpur, Ahmednagar - MPCB",31.0,5.0,12.0,17.0,35.0,22.0,5.0
Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",3.0,,1.0,,36.0,6.0,15.0
Ajmer,"Civil Lines,  Ajmer - RSPCB",21.0,9.0,23.0,24.0,98.0,62.0,13.0
Akola,"Ramdaspeth, Akola - MPCB",19.0,7.0,10.0,65.0,79.0,41.0,20.0
Alwar,"Moti Doongri, Alwar - RSPCB",46.0,9.0,81.0,31.0,90.0,59.0,38.0
Amaravati,"Secretariat, Amaravati - APPCB",17.0,3.0,21.0,70.0,72.0,39.0,14.0
Ambala,"Patti Mehar, Ambala - HSPCB",,8.0,5.0,24.0,120.0,146.0,22.0
Ambernath,"Chinchpada, Ambernath - MPCB",15.0,3.0,19.0,14.0,22.0,8.0,2.0
Amravati,"Shivneri Colony, Amravati - MPCB",14.0,4.0,14.0,38.0,70.0,43.0,9.0
Amravati,"Shri Shivaji Science College, Amravati - MPCB",33.0,8.0,17.0,38.0,79.0,49.0,21.0
Amritsar,"Golden Temple, Amritsar - PPCB",19.0,6.0,13.0,49.0,115.0,84.0,11.0
Anantapur,"Gulzarpet, Anantapur - APPCB",29.0,,,34.0,,,
Angul,"Hakimapada, Angul - OSPCB",54.0,3.0,14.0,111.0,95.0,57.0,23.0
Ankleshwar,"GIDC, Ankleshwar - GPCB",26.0,6.0,25.0,28.0,68.0,32.0,28.0
Araria,"Kharahiya Basti, Araria - BSPCB",15.0,5.0,14.0,10.0,44.0,35.0,57.0
Arrah,"New DM Office, Arrah - BSPCB",56.0,,,8.0,,,
Asansol,"Asansol Court Area, Asansol - WBPCB",31.0,4.0,33.0,36.0,49.0,40.0,13.0
Asansol,"Evelyn Lodge, Asansol - WBPCB",11.0,5.0,19.0,27.0,44.0,24.0,70.0
